business_id,name,address,city,state,postal_code,latitude,longitude,stars_x,review_count,is_open,attributes,categories,hours,review_id,user_id_x,stars_y,useful,funny,cool,text_x,date_x,date_y,user_id_y,text_y,date,compliment_count,restaurant_id,cuisine_type,rating,restaurant_name,location
,Le Petit Souffle,"Third Floor, Century City Mall, Kalayaan Avenue, Poblacion, Makati City",Makati City,,,14.565443,121.027535,,314.0,,,,,,,,,,,,,,,,,,6317637.0,"French, Japanese, Desserts",4.8,,
,Izakaya Kikufuji,"Little Tokyo, 2277 Chino Roces Avenue, Legaspi Village, Makati City",Makati City,,,14.553708,121.014101,,591.0,,,,,,,,,,,,,,,,,,6304287.0,Japanese,4.5,,
,Heat - Edsa Shangri-La,"Edsa Shangri-La, 1 Garden Way, Ortigas, Mandaluyong City",Mandaluyong City,,,14.581404,121.056831,,270.0,,,,,,,,,,,,,,,,,,6300002.0,"Seafood, Asian, Filipino, Indian",4.4,,
,Ooma,"Third Floor, Mega Fashion Hall, SM Megamall, Ortigas, Mandaluyong City",Mandaluyong City,,,14.585318,121.056475,,365.0,,,,,,,,,,,,,,,,,,6318506.0,"Japanese, Sushi",4.9,,
,Sambo Kojin,"Third Floor, Mega Atrium, SM Megamall, Ortigas, Mandaluyong City",Mandaluyong City,,,14.58445,121.057508,,229.0,,,,,,,,,,,,,,,,,,6314302.0,"Japanese, Korean",4.8,,
,Din Tai Fung,"Ground Floor, Mega Fashion Hall, SM Megamall, Ortigas, Mandaluyong City",Mandaluyong City,,,14.583764,121.056314,,336.0,,,,,,,,,,,,,,,,,,18189371.0,Chinese,4.4,,
,Buffet 101,"Building K, SM By The Bay, Sunset Boulevard, Mall of Asia Complex (MOA), Pasay City",Pasay City,,,14.53133333,120.9796667,,520.0,,,,,,,,,,,,,,,,,,6300781.0,"Asian, European",4.0,,
,Vikings,"Building B, By The Bay, Seaside Boulevard, Mall of Asia Complex (MOA), Pasay City",Pasay City,,,14.54,120.9793333,,677.0,,,,,,,,,,,,,,,,,,6301290.0,"Seafood, Filipino, Asian, European",4.2,,
,Spiral - Sofitel Philippine Plaza Manila,"Plaza Level, Sofitel Philippine Plaza Manila, CCP Complex, Pasay City",Pasay City,,,14.55299,120.98009,,621.0,,,,,,,,,,,,,,,,,,6300010.0,"European, Asian, Indian",4.9,,
,Locavore,"Brixton Technology Center, 10 Brixton Street, Kapitolyo, Pasig City",Pasig City,,,14.572041,121.056532,,532.0,,,,,,,,,,,,,,,,,,6314987.0,Filipino,4.8,,
,Silantro Fil-Mex,"75 East Capitol Drive, Kapitolyo, Pasig City",Pasig City,,,14.567689,121.057916,,1070.0,,,,,,,,,,,,,,,,,,6309903.0,"Filipino, Mexican",4.9,,
,Mad Mark's Creamery & Good Eats,"23 East Capitol Drive, Kapitolyo, Pasig City",Pasig City,,,14.570849,121.06082,,488.0,,,,,,,,,,,,,,,,,,6309455.0,"American, Ice Cream, Desserts",4.2,,
,Silantro Fil-Mex,"Second Floor, UP Town Center, Katipunan Avenue, Diliman, Quezon City",Quezon City,,,14.649503,121.075419,,294.0,,,,,,,,,,,,,,,,,,6318433.0,"Filipino, Mexican",4.8,,
,Guevarra's,"387 P. Guevarra Corner Argonne Street, Addition Hills, San Juan City",San Juan City,,,14.59345,121.0335917,,458.0,,,,,,,,,,,,,,,,,,6310470.0,Filipino,4.2,,
,Sodam Korean Restaurant,"17 J. Abad Santos Drive, Little Baguio, San Juan City",San Juan City,,,14.59889,121.03811,,223.0,,,,,,,,,,,,,,,,,,6314605.0,Korean,4.3,,
,Cafe Arabelle,"Ayala Mall, Solenad, Nuvali, Santa Rosa - Tagaytay Road, Don Jose, Santa Rosa",Santa Rosa,,,14.237082,121.05704,,29.0,,,,,,,,,,,,,,,,,,18185059.0,"Cafe, American, Italian, Filipino",3.6,,
,Nonna's Pasta & Pizzeria,"Ground Floor, Building G, Solenad 3, Nuvali, Don Jose, Santa Rosa",Santa Rosa,,,14.23767897,121.0565874,,72.0,,,,,,,,,,,,,,,,,,18182702.0,"Italian, Pizza",4.0,,
,Balay Dako,"Aguinaldo Highway, Tagaytay City",Tagaytay City,,,14.101834,120.951589,,211.0,,,,,,,,,,,,,,,,,,6318213.0,Filipino,4.5,,
,Hobing Korean Dessert Cafe,"Third Floor, BGC Stopover Pavillion, Rizal Drive Corner 31st Street, Bonifacio Global City, Taguig City",Taguig City,,,14.55436,121.045878,,118.0,,,,,,,,,,,,,,,,,,18255654.0,"Cafe, Korean, Desserts",4.5,,
,Wildflour Cafe + Bakery,"Ground Floor, Netlima Building, 4th Avenue Corner 26th Street, Bonifacio Global City, Taguig City",Taguig City,,,14.549337,121.04622,,392.0,,,,,,,,,,,,,,,,,,6308205.0,"Cafe, Bakery, American, Italian",4.4,,
,NIU by Vikings,"Sixth Floor, SM Aura Premier, C5 Road Corner 26th Street, Bonifacio Global City, Taguig City",Taguig City,,,14.545858,121.053725,,535.0,,,,,,,,,,,,,,,,,,6315438.0,"Seafood, American, Mediterranean, Japanese",4.7,,
,The Food Hall by Todd English,"Fifth Floor, SM Aura Premier, C5 Corner 26th Street, Bonifacio Global City, Taguig City",Taguig City,,,14.54565535,121.0534998,,618.0,,,,,,,,,,,,,,,,,,6310406.0,"American, Asian, Italian, Seafood",4.5,,
,Chez Michou,"SCLN, 208, Bloco A, Loja 30, Asa Norte, Bras�_lia",Bras�_lia,,,-15.76414167,-47.88178889,,6.0,,,,,,,,,,,,,,,,,,6600681.0,"Fast Food, French",3.0,,
,Caf�� Daniel Briand,"SCLN 104, Bloco A, Loja 26, Asa Norte, Bras�_lia",Bras�_lia,,,-15.7775,-47.88266667,,9.0,,,,,,,,,,,,,,,,,,6601005.0,Cafe,3.8,,
,Casa do Biscoito Mineiro,"SCLN 210, Bloco D, Loja 36/48, Asa Norte, Bras�_lia",Bras�_lia,,,-15.75747222,-47.88213611,,11.0,,,,,,,,,,,,,,,,,,6600292.0,Bakery,3.7,,
,Maori,"CLN 110, Bloco D, Loja 28, Asa Norte, Bras�_lia",Bras�_lia,,,-15.75883333,-47.88816667,,11.0,,,,,,,,,,,,,,,,,,6600441.0,Brazilian,3.8,,
,Pizza �� Bessa,"SCS 214, Bloco C, Loja 40, Asa Sul, Bras�_lia",Bras�_lia,,,-15.83116667,-47.91566667,,11.0,,,,,,,,,,,,,,,,,,6600970.0,Pizza,3.2,,
,Sushi Loko,"SCS 213, Bloco C, Loja 35, Asa Sul, Bras�_lia",Bras�_lia,,,-15.831,-47.91566667,,10.0,,,,,,,,,,,,,,,,,,6600379.0,Japanese,3.1,,
,Beirute,"CLS 109, Bloco A, Loja 2/6, Asa Sul, Bras�_lia",Bras�_lia,,,-15.82,-47.9075,,8.0,,,,,,,,,,,,,,,,,,6600214.0,Arabian,3.7,,
